PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,season_id,season_type
1630639,A.J. Lawson,1610612742,DAL,22.0,15,7.2,0.93,0.47,0.47,0.33,0.0,0.07,0.13,0.0,0.07,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-23,Regular%20Season
1631260,AJ Green,1610612749,MIL,23.0,35,9.9,1.29,0.57,0.71,0.23,0.03,0.14,0.37,0.03,0.11,0.14,0.2,0.8,0.0,0.11,0.11,0.11,0.06,0.0,1.0,1.0,0.5,2022-23,Regular%20Season
1631100,AJ Griffin,1610612737,ATL,19.0,72,19.5,2.88,1.42,1.46,0.88,0.0,0.17,0.39,0.19,0.22,0.42,0.467,0.533,0.0,0.08,0.08,0.08,0.03,0.0,1.0,1.0,0.333,2022-23,Regular%20Season
203932,Aaron Gordon,1610612743,DEN,27.0,68,30.2,5.5,3.93,1.57,1.16,0.01,0.87,2.12,0.41,0.34,0.75,0.549,0.451,0.18,0.29,0.47,0.46,0.32,0.375,0.625,0.969,0.688,2022-23,Regular%20Season
1628988,Aaron Holiday,1610612737,ATL,26.0,63,13.4,1.84,0.94,0.9,1.11,0.0,0.03,0.06,0.13,0.16,0.29,0.444,0.556,0.0,0.14,0.14,0.14,0.03,0.0,1.0,1.0,0.222,2022-23,Regular%20Season
1630174,Aaron Nesmith,1610612754,IND,23.0,73,24.9,5.42,3.37,2.05,1.48,0.16,0.4,0.97,0.15,0.32,0.47,0.324,0.676,0.07,0.51,0.58,0.4,0.18,0.119,0.881,0.906,0.406,2022-23,Regular%20Season
1630598,Aaron Wiggins,1610612760,OKC,24.0,70,18.5,4.73,2.87,1.86,1.21,0.01,0.57,1.31,0.29,0.19,0.47,0.606,0.394,0.04,0.36,0.4,0.37,0.16,0.107,0.893,0.929,0.393,2022-23,Regular%20Season
1629678,Admiral Schofield,1610612753,ORL,26.0,37,12.2,2.46,1.03,1.43,0.51,0.16,1.0,2.14,0.08,0.08,0.16,0.5,0.5,0.11,0.3,0.41,0.38,0.22,0.267,0.733,1.0,0.571,2022-23,Regular%20Season
201143,Al Horford,1610612738,BOS,37.0,63,30.5,10.1,6.46,3.63,1.19,0.0,1.86,4.44,0.3,0.16,0.46,0.655,0.345,0.24,1.16,1.4,1.29,0.6,0.17,0.83,0.953,0.447,2022-23,Regular%20Season
202692,Alec Burks,1610612765,DET,31.0,51,22.0,3.0,1.37,1.63,1.2,0.06,0.18,0.39,0.25,0.29,0.55,0.464,0.536,0.0,0.16,0.16,0.16,0.1,0.0,1.0,1.0,0.625,2022-23,Regular%20Season
1630197,Aleksej Pokusevski,1610612760,OKC,21.0,34,20.6,7.0,5.56,1.44,1.18,0.0,1.32,2.88,0.26,0.15,0.41,0.643,0.357,0.0,0.65,0.65,0.53,0.12,0.0,1.0,0.9,0.2,2022-23,Regular%20Season
1627936,Alex Caruso,1610612741,CHI,29.0,67,23.5,5.28,2.43,2.85,3.37,0.21,0.84,1.9,0.21,0.37,0.58,0.359,0.641,0.0,0.31,0.31,0.25,0.06,0.0,1.0,1.0,0.235,2022-23,Regular%20Season
203458,Alex Len,1610612758,SAC,30.0,26,6.2,2.77,2.31,0.46,0.54,0.0,1.42,3.27,0.08,0.08,0.15,0.5,0.5,0.08,0.23,0.31,0.31,0.15,0.25,0.75,1.0,0.5,2022-23,Regular%20Season
1628993,Alize Johnson,1610612759,SAS,27.0,4,7.4,1.0,0.75,0.25,0.5,0.0,0.5,1.25,0.0,0.25,0.25,0.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0,1.0,1.0,2022-23,Regular%20Season
1631214,Alondes Williams,1610612751,BKN,24.0,1,5.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-23,Regular%20Season
1630578,Alperen Sengun,1610612745,HOU,20.0,75,28.9,8.37,6.65,1.72,1.76,0.12,3.37,7.73,0.33,0.23,0.56,0.595,0.405,0.48,1.36,1.84,1.75,1.07,0.261,0.739,0.992,0.606,2022-23,Regular%20Season
1629599,Amir Coffey,1610612746,LAC,26.0,50,12.5,1.52,0.86,0.66,0.48,0.06,0.04,0.08,0.08,0.04,0.12,0.667,0.333,0.02,0.16,0.18,0.14,0.02,0.111,0.889,1.0,0.143,2022-23,Regular%20Season
203083,Andre Drummond,1610612741,CHI,29.0,67,12.7,3.76,2.75,1.01,1.21,0.03,1.6,3.37,0.16,0.16,0.33,0.5,0.5,0.61,0.54,1.16,1.09,0.85,0.526,0.462,0.948,0.74,2022-23,Regular%20Season
2738,Andre Iguodala,1610612744,GSW,39.0,8,14.1,2.75,1.38,1.38,1.25,0.0,1.0,2.63,0.13,0.0,0.13,1.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,1.0,1.0,0.0,2022-23,Regular%20Season
