PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,season_id,season_type
1630639,A.J. Lawson,A.J.,1610612742,DAL,22.0,15,5,10,0.333,7.2,116.4,1.0,0.152,0.2,0.1,0.167,0.0,0.0,2.1,1.7,2.0,9.1,0.015,451,459,105,442,484,455,458,164,222,495,341,491,491,42,49,55,78,514,2022-23,Regular%20Season
1631260,AJ Green,AJ,1610612749,MIL,23.0,35,27,8,0.771,9.9,112.8,1.1,0.105,0.151,0.2,0.133,0.0,0.0,3.6,2.9,2.7,11.1,0.029,379,238,87,14,448,300,445,340,360,478,434,491,491,90,102,95,114,450,2022-23,Regular%20Season
1631100,AJ Griffin,AJ,1610612737,ATL,19.0,72,34,38,0.472,19.5,112.0,1.6,0.08,0.119,0.6,0.211,0.2,0.082,6.5,6.0,6.0,20.7,0.062,102,149,459,326,260,262,372,467,468,256,202,372,407,249,297,295,279,229,2022-23,Regular%20Season
203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,68,45,23,0.662,30.2,110.9,4.1,0.136,0.197,0.8,0.16,0.8,0.273,10.0,8.0,8.6,33.1,0.107,133,35,226,64,107,191,90,210,227,151,367,65,136,422,406,427,462,46,2022-23,Regular%20Season
1628988,Aaron Holiday,Aaron,1610612737,ATL,26.0,63,32,31,0.508,13.4,110.0,0.8,0.059,0.09,0.6,0.257,0.2,0.143,4.9,4.2,3.6,14.3,0.051,189,178,357,255,383,156,486,515,517,251,104,345,292,157,184,146,167,306,2022-23,Regular%20Season
1630174,Aaron Nesmith,Aaron,1610612754,IND,23.0,73,30,43,0.411,24.9,118.5,2.9,0.119,0.184,0.8,0.204,0.5,0.147,9.3,7.7,7.7,27.6,0.033,92,207,499,402,179,501,189,276,258,167,226,146,283,382,388,379,378,430,2022-23,Regular%20Season
1630598,Aaron Wiggins,Aaron,1610612760,OKC,24.0,70,37,33,0.529,18.5,111.2,2.0,0.109,0.166,0.6,0.173,0.2,0.146,6.0,5.7,4.8,18.9,0.064,116,110,385,220,284,207,315,314,308,270,328,324,288,221,284,235,252,222,2022-23,Regular%20Season
1629678,Admiral Schofield,Admiral,1610612753,ORL,26.0,37,14,23,0.378,12.2,113.0,1.1,0.092,0.135,0.2,0.111,0.1,0.122,4.3,2.6,4.2,10.7,0.036,365,386,226,419,408,311,455,413,424,460,476,408,327,125,83,195,105,412,2022-23,Regular%20Season
201143,Al Horford,Al,1610612738,BOS,37.0,63,44,19,0.698,30.5,111.1,5.0,0.159,0.22,0.5,0.12,1.0,0.286,9.5,7.6,7.7,31.3,0.105,189,40,176,33,97,204,60,143,175,314,465,36,127,389,382,380,431,58,2022-23,Regular%20Season
202692,Alec Burks,Alec,1610612765,DET,31.0,51,12,39,0.235,22.0,113.9,2.7,0.124,0.189,0.7,0.218,0.2,0.087,7.4,6.9,4.8,24.7,0.06,292,404,472,495,220,366,209,253,245,172,176,389,398,287,350,238,341,250,2022-23,Regular%20Season
1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,21.0,34,16,18,0.471,20.6,118.3,3.4,0.16,0.245,0.6,0.183,1.3,0.506,7.8,6.6,5.8,22.2,0.029,385,357,165,330,236,497,152,141,133,250,296,20,36,310,335,283,314,452,2022-23,Regular%20Season
1627936,Alex Caruso,Alex,1610612741,CHI,29.0,67,33,34,0.493,23.5,106.5,2.3,0.099,0.143,1.5,0.35,0.7,0.28,7.4,5.3,5.5,20.4,0.112,145,162,403,292,197,68,270,373,392,18,28,76,130,291,257,273,273,39,2022-23,Regular%20Season
203458,Alex Len,Alex,1610612758,SAC,30.0,26,15,11,0.577,6.2,100.0,1.4,0.194,0.273,0.2,0.129,0.4,0.688,2.1,1.7,1.7,5.6,0.044,418,369,111,146,496,29,405,83,103,487,448,165,3,43,46,47,37,357,2022-23,Regular%20Season
